,Name,Release date,Manufacturer,Units sold,"""Bits"""
0,Fairchild Channel F #,November 1976,Fairchild (U.S.),"ca. 250,000",
1,RCA Studio II,January 1977,RCA (U.S.),?,
2,Bally Astrocade,1977,Midway (U.S.),?,
3,Atari 2600 #,"September 11, 1977",Atari Inc. (U.S.),ca. 30 million[4],
4,APF-MP1000,"January 1, 1978",APF (U.S.),?,
5,Champion 2711,1978,Unisonic (U.S.),?,
6,Interton VC 4000,1978,Interton (Germany),?,
7,Palladium Tele-Cassetten Game,1978,Palladium (Germany),?,
8,1292 Advanced Programmable Video System,1978,Audiosonic,?,
9,Magnavox Odyssey 2,December 1978,Magnavox (U.S.) / Philips (Netherlands),?,
10,APF Imagination Machine,1979,APF (U.S.),?,
11,Bandai Super Vision 8000,1979,Bandai (Japan),?,
12,Intellivision #,1980,Mattel (U.S.),>3 million,
13,VTech CreatiVision,1981,VTech (Hong Kong),?,
14,Epoch Cassette Vision #,"July 30, 1981",Epoch (Japan),?,
15,Arcadia 2001 and its variants and clones,1982 (Arcadia 2001),Emerson Radio (U.S.),?,
16,SHG Black Point,1982,Süddeutsche Elektro-Hausgeräte GmbH & Co. KG (Germany),?,
17,ColecoVision,August 1982,Coleco (U.S.),ca. 2 million,
18,Atari 5200,November 1982,Atari Inc. (U.S.),ca. 1 million,
19,Vectrex,November 1982,GCE/Milton Bradley Company (U.S.),?,
20,Compact Vision TV Boy,October 1983,Gakken (Japan),?,
21,Video Arcade System,Cancelled (supposed to be released in 1983),Ultravision (U.S.),0,
0,Videopac+ G7400,1983,Philips (Netherlands),?,8-bit
1,My Vision,1983,Nichibutsu (Japan),?,8-bit
2,Pyuuta Jr.,April 1983,Tomy (Japan),?,8-bit
3,Sega SG-1000 #,"July 15, 1983",Sega (Japan),ca. 2 million,8-bit
4,NES/Family Computer (Famicom) #,"July 15, 1983",Nintendo (Japan),ca. 61.91 million,8-bit
5,PV-1000,October 1983,Casio (Japan),?,8-bit
